year,m_start_yr,w_start_yr,p_start_yr,m_inc_yr,w_inc_yr,p_inc_yr,p_total_treated_yr,m_cured,w_cured,p_cured,m_bettered,w_bettered,p_bettered,m_uncured,w_uncured,p_uncured,m_deceased,w_deceased,p_deceased,m_not_men_ill,w_not_men_ill,p_not_men_ill,m_discharged_trial,w_discharged_trial,p_discharged_trial
1878,172,177,349,83,74,157,506,24,23,47,6,13,19,20,22,42,8,7,15,0,0,0,0,0,0
1879,197,186,383,74,72,146,529,32,18,50,16,16,32,9,14,23,11,9,20,0,0,0,0,0,0
1880,203,201,404,60,56,116,520,17,17,34,13,18,31,22,17,39,13,5,18,1,0,1,0,0,0
1881,197,200,397,69,69,138,535,20,16,36,13,15,28,13,21,34,14,11,25,0,0,0,0,0,0
1882,206,206,412,56,56,112,524,28,19,47,3,8,11,4,13,17,13,20,33,0,0,0,0,0,0
1883,201,210,411,73,46,119,530,23,18,41,13,11,24,13,15,28,16,6,22,0,0,0,0,0,0
1884,209,206,415,65,55,120,535,19,16,35,6,6,12,16,10,26,18,12,30,3,0,3,0,0,0
1885,212,217,429,73,70,143,572,22,22,44,5,5,10,24,21,45,13,7,20,0,0,0,0,0,0
1886,221,232,453,92,67,159,612,29,21,50,19,18,37,14,15,29,17,11,28,1,0,1,0,0,0
1887,233,234,467,66,88,154,621,23,19,42,5,13,18,16,17,33,17,11,28,1,0,1,0,0,0
1888,237,262,499,76,90,166,665,25,42,67,9,27,36,15,17,32,14,6,20,0,0,0,0,0,0
1889,250,262,512,83,88,171,683,27,39,66,17,14,31,14,14,28,20,16,36,1,0,1,0,0,0
1890,254,265,519,94,77,171,690,33,21,54,15,21,36,14,20,34,21,20,41,0,0,0,0,0,0
1891,265,260,525,83,88,171,696,26,35,61,10,10,20,20,21,41,30,19,49,3,0,3,0,0,0
1892,259,263,522,86,85,171,693,36,31,67,9,11,20,11,15,26,21,16,37,1,1,2,0,0,0
1893,267,274,541,73,75,148,689,20,25,45,6,15,21,21,17,38,20,12,32,3,0,3,0,0,0
1894,270,280,550,57,77,134,684,20,26,46,9,15,24,17,22,39,10,17,27,1,0,1,0,0,0
1895,270,277,547,62,70,132,679,19,32,51,5,9,14,12,16,28,19,13,32,2,1,3,0,0,0
1896,275,276,551,64,83,147,698,22,23,45,3,15,18,27,29,56,18,17,35,4,1,5,0,0,0
1897,265,274,539,81,70,151,690,33,34,67,10,8,18,12,14,26,27,8,35,3,0,3,0,0,0
1898,261,280,541,73,65,138,679,32,21,53,13,21,34,19,22,41,13,12,25,0,0,0,0,0,0
1899,257,269,526,55,72,127,653,26,30,56,24,37,61,10,9,19,17,22,39,0,0,0,0,0,0
1900,235,243,478,88,96,184,662,18,26,44,31,23,54,36,24,60,11,18,29,2,0,2,0,0,0
1901,225,248,473,64,83,147,620,14,20,34,23,22,45,17,27,44,24,12,36,1,0,1,0,0,0
1902,238,256,494,81,70,151,645,18,23,41,18,22,40,6,1,7,13,14,27,4,0,4,0,0,0
1903,267,271,538,82,127,209,747,25,33,58,21,23,44,7,52,59,16,29,45,5,1,6,0,0,0
1904,275,260,535,98,94,192,727,19,27,46,19,16,35,47,25,72,29,8,37,6,1,7,0,0,0
1905,253,277,530,107,78,185,715,17,37,54,18,16,34,39,24,63,17,22,39,2,0,2,1,1,2
1906,266,255,521,106,117,223,744,23,28,51,22,26,48,54,36,90,15,9,24,3,1,4,0,0,0
1907,253,271,524,93,85,178,702,18,27,45,24,30,54,22,14,36,21,17,38,5,1,6,4,0,4
1908,252,268,520,83,44,127,647,18,15,33,17,20,37,11,12,23,8,7,15,5,1,6,1,0,1
1909,275,257,532,49,52,101,633,6,12,18,18,12,30,16,14,30,17,11,28,1,1,2,1,0,1
1910,265,259,524,63,51,114,638,6,9,15,12,12,24,12,16,28,13,11,24,2,0,2,0,1,1
1911,281,237,518,77,94,171,689,12,26,38,11,15,26,11,16,27,23,16,39,10,2,12,0,2,2
1912,272,221,493,61,60,121,614,18,13,31,11,5,16,8,11,19,17,7,24,6,1,7,1,0,1
1913,266,221,487,69,89,158,645,9,18,27,8,11,19,7,5,12,13,13,26,5,1,6,3,0,3
1914,273,228,501,68,81,149,650,9,13,22,15,13,28,3,6,9,15,7,22,1,0,1,1,0,1
1915,261,231,492,85,86,171,663,7,11,18,6,16,22,10,4,14,21,18,39,4,2,6,0,0,0
1916,286,244,530,71,66,137,667,15,16,31,13,18,31,10,8,18,26,9,35,3,2,5,0,0,0
1917,263,251,514,72,53,125,639,9,9,18,12,9,21,3,0,3,30,30,60,6,1,7,0,0,0
1918,252,248,500,61,50,111,611,23,19,42,21,19,40,9,4,13,23,10,33,2,1,3,0,0,0
1919,229,249,478,103,70,173,651,31,19,50,15,10,25,5,2,7,21,21,42,3,1,4,0,0,0
1920,259,258,517,113,69,182,699,39,17,56,12,7,19,11,6,17,30,23,53,5,0,5,0,0,0
1921,268,253,521,135,148,283,804,39,36,75,24,30,54,3,3,6,37,19,56,2,0,2,0,0,0
1922,299,313,612,129,164,293,905,36,38,74,33,42,75,9,3,12,37,34,71,0,0,0,0,0,0
1923,308,306,614,110,141,251,865,35,50,85,23,51,74,10,12,22,18,35,53,0,0,0,0,0,0
1924,308,306,614,114,131,245,859,42,32,74,36,59,95,6,6,12,13,25,38,0,0,0,0,0,0
1925,308,306,614,147,114,261,875,34,20,54,37,53,90,7,6,13,32,29,61,0,0,0,0,0,0
1926,308,306,614,128,101,229,843,21,19,40,54,41,95,13,9,22,25,19,44,0,0,0,0,0,0
1927,308,306,614,128,130,258,872,23,17,40,46,52,98,15,10,25,24,31,55,0,0,0,0,0,0
1928,308,306,614,169,125,294,908,26,14,40,49,58,107,35,2,37,34,17,51,0,0,0,0,0,0
1929,308,306,614,158,140,298,912,23,15,38,59,60,119,16,8,24,25,26,51,0,0,0,0,0,0
1930,308,314,622,150,158,308,930,27,16,43,50,82,132,23,19,42,26,25,51,0,0,0,0,0,0
1931,308,314,622,160,134,294,916,23,13,36,52,50,102,20,18,38,29,38,67,0,0,0,0,0,0
1932,308,314,622,159,114,273,895,27,19,46,51,56,107,36,13,49,27,19,46,0,0,0,0,0,0
1933,322,320,642,171,137,308,950,30,24,54,58,45,103,39,17,56,26,39,65,0,0,0,0,0,0
1934,322,320,642,160,144,304,946,36,31,67,43,54,97,33,23,56,25,22,47,0,0,0,0,0,0
1935,322,320,642,157,138,295,937,25,26,51,50,50,100,35,12,47,35,26,61,0,0,0,0,0,0
1936,322,320,642,177,162,339,981,41,29,70,52,60,112,30,14,44,29,39,68,0,0,0,0,0,0
1937,327,335,662,192,181,373,1035,50,26,76,72,82,154,29,17,46,22,33,55,0,0,0,0,0,0
1938,319,339,658,197,193,390,1048,35,25,60,70,82,152,38,15,53,22,24,46,0,0,0,0,0,0
1939,321,341,662,229,221,350,1012,34,52,86,86,89,175,31,25,56,25,32,57,0,0,0,0,0,0
1940,326,353,679,211,204,415,1094,54,71,125,68,78,146,47,30,77,46,27,73,0,0,0,0,0,0
1941,324,350,674,214,203,417,1091,56,63,119,64,86,150,62,32,94,37,24,61,0,0,0,0,0,0
1942,311,347,658,248,245,493,1151,59,71,130,81,105,186,62,29,91,27,24,51,0,0,0,0,0,0
1943,321,348,669,228,242,470,1139,58,85,143,64,102,166,65,33,98,31,29,60,0,0,0,0,0,0
1944,329,349,678,244,261,505,1183,65,103,168,74,109,183,71,21,92,37,32,69,0,0,0,0,0,0
1945,322,346,668,281,290,571,1239,88,78,166,78,117,195,105,53,158,23,32,55,0,0,0,0,0,0
